Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Book Title,Price,Binding,Pages,Product Dimensions
Harper Collins, Lesley Ackland,"Foreword by Islay McEwan, Physiotherapist Birmingham Royal Ballet. Pilates has been a recent phenomenon with book sales to match its explosion in popularity. This book will capitalise on its growing popularity",21 January 2008, 000727789X,9780007277896," 15 Minute Pilates: Body Maintenance to Make You Longer, Leaner and Stronger","Rs. 1,055.00",Paperback,192,-
Harpercollins Children’s Books,"Kristin Cast, Alyson Noel","Truly, madly, deadly... Kristin Cast and Alyson Noel head up this collection of 5 thrilling paranormal stories",2011,7428006,9780007428007, Kisses From Hell,"Rs. 1,425.00",Paperback,268,-
Harper Collins,Ginny Deals,"Join the Sleepover Club: Frankie, Kenny, Felicity, Rosie and Lyndsey, five girls who want to have fun -- but who always end up in mischief.",2007-10-01,7271603,9780007271603, SLEEPOVER CLUB(28) EGGSTRAVAGANZA,Rs. 815.00,Paperback,128,-
Bantam Press,"Tyler Hamilton, Daniel Coyle","The Secret Race is a definitive look at the world of professional cycling—and the doping issue surrounding this sport and its most iconic rider, Lance Armstrong—by former Olympic gold medalist Tyler Hamilton and New York Times bestselling author Daniel Coyle. Over the course of two years, Coyle conducted more than two hundred hours of interviews with Hamilton and spoke candidly with numerous teammates, rivals, and friends. The result is an explosive book that takes us, for the first time, deep inside a shadowy, fascinating, and surreal world of unscrupulous doctors, anything-goes team directors, and athletes so relentlessly driven to succeed that they would do anything—and take any risk, physical, mental, or moral—to gain the edge they need to win. Tyler Hamilton was once one of the world’s best-liked and top-ranked cyclists—a fierce competitor renowned among his peers for his uncanny endurance and epic tolerance for pain. In the 2003 Tour de France, he finished fourth despite breaking his collarbone in the early stages—and grinding eleven of his teeth down to the nerves along the way. He started his career with the U.S. Postal Service team in the 1990s and quickly rose to become Lance Armstrong’s most trusted lieutenant, and a member of his inner circle. For the first three of Armstrong’s record seven Tour de France victories, Hamilton was by Armstrong’s side, clearing his way. But just weeks after Hamilton reached his own personal pinnacle—winning the gold medal at the 2004 Olympics—his career came to a sudden, ignominious end: He was found guilty of doping and exiled from the sport. From the exhilaration of his early, naïve days in the peloton, Hamilton chronicles his ascent to the uppermost reaches of this unforgiving sport. In the mid-1990s, the advent of a powerful new blood-boosting drug called EPO reshaped the world of cycling, and a relentless, win-at-any-cost ethos took root. Its psychological toll would drive many of the sport’s top performers to substance abuse, depression, even suicide. For the first time ever, Hamilton recounts his own battle with clinical depression, speaks frankly about the agonizing choices that go along with the decision to compete at a world-class level, and tells the story of his complicated relationship with Lance Armstrong. A journey into the heart of a never-before-seen world, The Secret Race is a riveting, courageous act of witness from a man who is as determined to reveal the hard truth about his sport as he once was to win the Tour de France.",2012-09-11,593071743,9780593071748," The Secret Race: Inside the Hidden World of the Tour de France: Doping, Cover-Ups, and Winning at All Costs","Rs. 3,500.00",Paperback,352,-
Sterling,-,,-,8120729439,-,101 Dalmatians : Puppy Parade,Rs. 250.00,-,-,-
-,-,,-,-,-,18 Tracks,"Rs. 1,100.00",-,-,-
Harpercollins,Agatha Christie,,2006-02-06,7208634,9780007208630,1930s Omnibus (Agatha Christie Years),"Rs. 2,900.00",Paperback,752,7.76 x 5.08 x 1.61 inches
-,-,,-,-,-,2011 Photographer's Market (Paperback),"Rs. 4,560.00",-,-,-
-,-,,-,-,-,25 All Time Favourites - Glenn Miller,Rs. 800.00,-,-,-
Harper Collins Paperback,Peta,"When kids want to, they can make a lot of noise - especially when they use their voices to make the world a better place for animals. Now, for kids who want to make a difference, PETA founder Ingrid Newkirk brings you the ultimate guide to positive kid action and reaction. GET TOGETHER AND GET INVOLVEDHere are some ways you can help save the animal planet:  Share what you know - invite people to come and talk to your class about important animal protection issues. Tell insects to bug off - kindly! Flies and spiders are an important part of the natural world. Smile more brightly - use lip balm that doesn't test on animals!",2008,8172237243,9788172237240,50 EASY WAYS KIDS CAN HELP ANIMALS ,"Rs. 1,475.00",Paperback,292,-
