Publisher,Language,Author,Summary,Published Date,ISBN-10,ISBN-13,Type,Book Title,Price,Binding,Pages,Product Dimensions
-,English,Arnold Wright,,-,-,-,Rare Book,20th Century Impressions of Ceylon ,"Rs. 270,000.00",-,-,-
-,English,-,.,-,-,-,Rare Book,George Keyt,"Rs. 120,000.00",-,-,-
-,English,Mark Rhodes-Ousley,"Today's complex world of mobile platforms, cloud computing and ubiquitous data access puts new security demands on every IT professional. Information Security: The Complete Reference, Second Edition (previously titled Network Security: The Complete Reference) is the only comprehensive book that offers vendor-neutral details on all aspects of information protection, with an eye toward the evolving threat landscape. Thoroughly revised and expanded to cover all aspects of modern information security - from concepts to details, this edition provides a one-stop reference equally applicable to the beginner and the seasoned professional. Find out how to build a holistic security program based on proven methodology, risk analysis, compliance and business needs. You'll learn how to successfully protect data, networks, computers and applications. In-depth chapters cover data protection, encryption, information rights management, network security, intrusion detection and prevention, Unix and Windows security, virtual and cloud security, secure application development, disaster recovery, forensics and real-world attacks and countermeasures. Included is an extensive security glossary, as well as standards-based references. This is a great resource for professionals and students alike.",-,1259098346,9781259098345,Discounted Book," Information Security The Complete Reference, Second Edition","Rs. 4,250.00",Paperback,-,-
John Wiley & Sons Inc,English,Francis D. K. Ching,,1989-09-15,047128968X,9780471289685,Discounted Book,Drawing A Creative Process,"Rs. 5,700.00",Paperback,208,21.5 x 1.5 x 27.9 cm
-,English,"Roy J. Lewicki, Bruce Barry",,-,-,978-0071254274,Discounted Book,Essential of Negotiation 4th edition,"Rs. 6,500.00",-,-,-
HarperCollins,English, Wilbur Smith,"A novel of ancient Egypt from the bestselling author of river god. Wilbur Smith is a master at the helm of one of the greatest stories of all time. On the banks of the Nile, a hero will rise. Across the lush plains of Egypt, Taita, a freed eunuch slave, wears his authority lightly. Not only is he the close adviser to the Pharaoh, but he is guardian to pharaoh tamose two teenage sisters, the young beauties Tehuti and Bekatha. But the kingdom is not at peace. They have been fighting southern Egypts constant and historic enemy, the Hyksos people in the north, since time began. To finally crush them, Pharaoh must turn to his most trusted friend. Taita, philosopher, poet and expert strategist, has a plan that will see Egypt destroy the Hyksos army and form a coveted alliance with Crete in one move. This plan will take him, his expedition commander Zara's and their mighty warriors on a perilous journey up the Nile, through Arabia to the magical city of Babylon, then across the open seas to Crete. The many dangers will cost lives and time and they will meet battle and betrayal head on. But Taita must not forget his two charges, the spirited young princesses, whose attraction to the very warriors who lead the fight threatens Taitas meticulous plan and the future of Egypt itself.",2014-09-25,7592922,9780007592920,Discounted Book,Desert God,"Rs. 1,100.00",Paperback,432,-
-,English, Christopher Andrew,,-,-,9780307275813,Discounted Book,Defend the Realm,"Rs. 2,300.00",-,-,-
John Wiley & Sons Inc,English,Michael E. Doyle,,2006-12-05,471741906,9780471741909,Discounted Book,Color Drawing,"Rs. 8,500.00",Hardcover,432,22 x 2.7 x 28 cm
Arrow,English,Reza Aslan,"*Why do they hate us? An entire cottage industry has arisen to answer this question. But what no one has really figured out is, who exactly are they? Is it al-Qaeda? Islamic nationalists? The whole Muslim world?*HOW TO WIN A COSMIC WAR lays out, for the first time, a comprehensive definition of the movement behind and surrounding al-Qaeda and the like, a global ideology properly termed Jihadism. *Contrasting twenty-first-century religious extremism across Christianity, Judaism and Islam with its historical antecedents, Aslan demonstrates that while modern Jihadis may have legitimate social grievances - the suffering of the Palestinians, American support for Arab dictators, the presence of foreign troops in Muslim lands, to name a few - they have no real goals or actual agenda.*So, what do the Jihadists want? Aslan's answer is: Nothing. The Jihadists have no earthly agenda: they are fighting a metaphysical conflict, a theological war. And ever since 9/11, we have unfortunately been fighting the same cosmic war, the war they want: the so-called 'War on Terror'.*How do we win a Cosmic War? By refusing to fight in one. And in this stunning new work, Aslan reveals surprising conclusions about how we can deal with this predicament.",2010-04-06,009953889X,978-0099538899,Second-Hand Book,How to Win a Cosmic War,Rs. 450.00,paperback,240,-
-,English,Abraham Silberschatz,,-,-,978-0071244763,Discounted Book,Database Systems Concepts,"Rs. 8,600.00",-,-,-
Random House,English, Karin Slaughter,,-,1780890915,9781780890913,Discounted Book,Criminal ,"Rs. 1,800.00",paperback,448,-
-,English,R Elmasri and S Navathe,,-,-,978-8131792476,Discounted Book,Database Systems 6th edition,"Rs. 5,200.00",-,-,-
-,English,B.K.S. Iyengar,,-,-,978-0007518265,Discounted Book,Core Of The Yoga Sutra,"Rs. 1,300.00",-,-,-
Sooriya Publishers,Sinhala,Ha Jin,,2009,-,9789556561241,Book,Adaraya Bala Indee,Rs. 450.00,-,-,-
Dayawansha Jayakody,Sinhala,Meril Perera,,2011,-,9789555519137,Book,Adaraneeya thaththa wetha liyami,Rs. 250.00,-,-,-
June,English, Chip R. Bell & Marshall Goldsmith,Managers As Mentors is a rapid-fire read and a provocative guide to helping associates grow and adapt in today's tumultuous organizations. This new edition has been thoroughly revised and updated. Chip Bell and Marshall Goldsmith place increased emphasis on the mentor as a learning catalyst for the protege rather than someone who simply hands down knowledge—crucial for younger workers who prize growth opportunities even more than prior generations and who tend to distrust hierarchy.,2013-07-01,160994710X,9781609947101,Discounted Book,Managers as Mentors: Building Partnerships for Learning,"Rs. 1,500.00",Paper back,235,-
Canongate Books Ltd,English,Yann Martel,"One boy, one boat, one tiger ...After the tragic sinking of a cargo ship, a solitary lifeboat remains bobbing on the wild, blue Pacific. The only survivors from the wreck are a sixteen year-old boy named Pi, a hyena, a zebra (with a broken leg), a female orang-utan and a 450-pound Royal Bengal tiger. The scene is set for one of the most extraordinary and best-loved works of fiction in recent years.",2012-10-04,857865536,9780857865533,Discounted Book,Life of Pi ,"Rs. 1,700.00",Paperback,352,7.7 x 5 x 0.9 inches
Vijitha Yapa Publications,English,"A.P.Kannangara, D. Phil. (Oxon.)","The book is in two parts. In the first part he describes how different sectors of the people in Sri Lanka found themselves defined in the course of the nineteenth century, and the responses they made to the changes they had to contend with. In the second part he engages in a critical study of colonialism, the devaluing of primordial institutions and the imposing of different social structures, leaving individuals to fight their way through a society to which they were tenuously connected. At one level the second part was also a narrative but it was a narrative which involves comparison and analysis. It is a description of the social changes that began in the nineteenth century and continued till the mid twentieth century. This is a posthumously published book. The Author died in July 2004. He had collected a lot of information from the Sri Lankan National Archives, the British National Archives in London, the Bibliotheque Nationale in Paris,…. and left a tentative plan for the book…”. After his death his wife, Monica was determined to have the book published on his behalf and undertook to fulfil her husband’s aspirations. This, she has done.",-,-,9789556651454,Book,A Survey of Social Change in an Imperial Regime,Rs. 980.00,-,252,145mm X 205mm
Quercus,English,Corban Addison,"Ahalya Ghai and her younger sister Sita are as close as sisters can be. But their loving and secure childhood ends abruptly one day when a tsunami rips through their village on India’s Coromandel coast. Their home is swept away, and Ahalya and Sita are the sole survivors of their family. Destitute, their only hope is to find refuge at a convent in Chennai, many miles away. A driver agrees to take them. But the moment they get into that car their fate is sealed. The two sisters – confused, alone, totally reliant on each other – are sold. Worse, they are separated. On the other side of the world, Washington lawyer Thomas Clarke is struggling to cope after the death of his baby daughter and the collapse of his marriage to Priya. He takes a sabbatical from his high-pressure job and accepts a position with the Bombay branch of an international anti-trafficking group. Thomas is now on a path that not only involves saving himself and his marriage, but the lives of two sisters who cannot bear to be apart.",2012,857388185,9780857388186,Book,A Walk Across The Sun,"Rs. 1,750.00",Paperback,432,-
PENGUIN GROUP,English,CHARLES DICKENS,,-,141439602,-,Book,A TALE OF TWO CITIES ,Rs. 875.00,-,448,-
Random House Publishing Group,English,Aldo Leopold,"""We can place this book on the shelf that holds the writings of Thoreau and John Muir."" San Francisco Chronicle These astonishing portraits of the natural world explore the breathtaking diversity of the unspoiled American landscape -- the mountains and the prairies, the deserts and the coastlines. A stunning tribute to our land and a bold challenge to protect the world we love.",12/1986,345345053,9780345345059,Book,A Sand County Almanac,"Rs. 1,800.00",Paperback,320,6.88 x 4.26 x 0.85 inches
Penguin Books Ltd,English,William Shakespeare,"Part of ""The New Penguin Shakespeare"" series, this text looks at ""Macbeth"" with an introduction, a list of further reading, commentary and a short account of the textual problems of the play. The series is used and recommended by the Royal Shakespeare Company.",-,140707050,9780140707052,Discounted Book,Macbeth (Penguin Classics),Rs. 950.00,Paperback,208,-
Westland Books Pvt Ltd,English,Philip Chacko,"This book tells the story of how that dream was realised.This is the story of the Nano, the Rs1-lakh wonder, and how it came to be The making of the Nano has been a struggle and a vindication, a long, arduous and expensive endeavour to cope with a wide range of problems. This, then, is also the story of how Tata Motors, the company behind the project, overcame the limitations imposed by conventional technology and traditional methods of manufacturing to craft a motor car that has changed the automobile world.",2010-08-30,9380658591,978-9380658599,Second-Hand Book,Small Wonder,Rs. 500.00,Hardcover,154,-
Barron's Educational Series Inc,English,Robert D. Hisrich,,1993-12-31,812046935,978-0812046939,Second-Hand Book,Selling and Sales Management ,Rs. 600.00,paperback,268,-
Random House,English,Julia Angwin,"A few years ago, MySpace.com was just an idea kicking around a Southern California spam mill. Scroll down to the present day and MySpace is one of the most visited Internet destinations in America, displaying more than 40 billion webpage views per month and generating nearly $1 billion annually for Rupert Murdoch’s online empire. Even by the standards of the Internet age, the MySpace saga is an astounding growth story, which climaxed with the site’s acquisition by Murdoch’s News Corporation in 2005 for a sum approaching one billion dollars. But more than that, it may be the defining drama of the digital era. In Stealing MySpace, Pulitzer Prize-winning journalist Julia Angwin chronicles the rise of this Internet powerhouse. With an unerring eye, Angwin details how MySpace took the Internet by storm by grabbing the best ideas from around the Web, encouraging pinup stars such as Tila Tequila to make their home on its pages and giving everyone freedom to experiment with online identities–including using somebody else’s identity. Stealing MySpace introduces us to the site’s founders, Chris DeWolfe and Tom Anderson, who dabbled in computer hacking, online pornography, spam, and spyware before starting MySpace. Although their street savvy, doggedness, and clubbing skills far eclipsed their tech prowess, they stumbled their way to success and soon found themselves at ground zero of a high-stakes war that pitted Rupert Murdoch against his frequent nemesis, the combative Viacom CEO Sumner Redstone. Angwin sheds light on the dizzying backroom deals that allowed Murdoch to snatch MySpace from Viacom’s grasp even as the MySpace founders remained in the dark about their own fate. Then she takes us inside the Murdoch empire as DeWolfe and Anderson lobby furiously to regain control of their creation. Venturing beyond the business aspects of the story, Angwin also explores the Internet culture, a voyeuristic world in which MySpace must stay one step ahead of amateur pornographers, sexual predators, and “spoofers” who set up fake profiles (Rupert Murdoch himself tolerates dozens of phony “Ruperts” on the site) and cope with the general excesses and sometimes illegal acts of a community of account holders equal in number to the population of Japan. In Stealing MySpace, Julia Angwin dishes on the epic real-world battle for control of a virtual empire. In a savvy, smart, fast-paced narrative reminiscent of Bryan Burrough and John Helyar’s Barbarians at the Gate and Michael Lewis’s The New New Thing, Stealing MySpace tells is the whole gripping story behind a breakout cultural phenomenon.",2009-03-17,1400066948,9781400066940,Second-Hand Book,Stealing MySpace: The Battle to Control the Most Popular Website in America,"Rs. 1,100.00",Hardcover,-,-
Adam Khoo Learning Technologies Group,English,Adam Khoo,"If you have always wanted to build a million-dollar fortune then it's time you learn how you can make your dreams a reality right now!You will learn that it does not require a Harvard Business Degree, good luck or lots of capital to make it rich. With a strong desire, million-dollar mindset and the right money-making strategies, you will find that anyone can become a self-made millionaire.This is the most practical, powerful &amp: comprehensive book ever written on how to create, manage, multiply and enjoy your money. It is a must read for entrepreneurs, managers, professionals, executives and anybody who has ever dreamed of getting out of the rat race and onto the path of financial freedom.",2012-09-05,981055284X,978-9810552848,Second-Hand Book,Secrets of Self-Made Millionaires ,Rs. 600.00,paperback,-,-
John Wiley & Sons,English,William Nobrega,"In 2008, India will likely overtake China as the world s fastest growing economy and become one of the largest economies globally. Foreign investment is increasing dramatically and business opportunities abound for those who know how to find them. With a growing middle class and booming markets, India holds much promise for investors. Riding the Indian Tiger shows you how to get in on the ground floor and profit from India s economic boom.",2008-02-08,470183276,978-0470183274,Second-Hand Book,Riding the Indian Tiger,"Rs. 1,100.00",Hardcover,272,-
Dayawansha Jayakody,Sinhala,Gongithota Sarath,,2011,-,9789555519021,Book,Alokaya regena enna,Rs. 200.00,-,-,-
WIJESURIYA GRANTHA KENDRAYA,Sinhala,GAMINI KUMARA VITHANA,,-,9556520297,-,Book,ALOKAWATH JEEWITHAYAKATA,Rs. 320.00,-,287,-
-,English, Lesley Regan,,-,-,978-0751336825,Second-Hand Book,Your Pregnancy Week by week,Rs. None,-,-,-
University of Chicago Press,English,Gary S. Becker,"On December 5, 2004, the still-developing blogosphere took one of its biggest steps toward mainstream credibility, as Nobel Prize–winning economist Gary S. Becker and renowned jurist and legal scholar Richard A. Posner announced the formation of the Becker-Posner Blog.",2009-11-01,-,9780226041025,Second-Hand Book,Uncommon Sense,Rs. 850.00,paperback,380,-
-,English,Tom Peters,.,-,60971843,978-0060971847,Second-Hand Book,Thriving on Chaos,Rs. 600.00,papercover,-,-
Hodder Paperbacks,English,Peter Jones,"Dragon's Den star Peter Jones will demonstrate how anyone can become successful - you just need guts, determination and ideas.",2008-04-17,340952350,978-0340952351,Second-Hand Book,Tycoon,Rs. 600.00,paperback,272,-
-,English,Brian Tracy,,-,1609946758,978-1609946753,Discounted Book,The 21 Success Secrets of Self Made Millionaires,"Rs. 1,100.00",-,-,-
Springer London Ltd,English,Mark Alison,"Astronomy enthusiasts will all appreciate the detailed yet easily-assimilated description of star clusters, how they were formed as our Milky Way galaxy, how they evolved, and how they are classified. The latest research has revealed a vast amount of fascinating information about the clusters, along with some spectacular photographs. Modern commercially-made telescopes enable amateur astronomers to see a surprising amount of detail, and to record - using CCD cameras, video, webcams or even film - some remarkably beautiful and detailed images. Contained here also is detailed information on using refractors, reflectors, and, of course, Meade and Celestron's ubiquitous range of computer-controlled SCT telescopes.",-,1846281903,9781846281907,Discounted Book,Star Clusters and How to Observe Them,"Rs. 4,200.00",Paperback,224,-
-,English,"Debashis Basu, Sucheta Dalal",,-,-,-,Second-Hand Book,The Scam,Rs. 500.00,-,-,-
Literary Licensing,English,Richard H Rush,.,2012-06-23,1258402904,978-1258402907,Second-Hand Book,The Techniques of Becoming Wealthy ,Rs. 600.00,hardcover,368,-
Random House Business,English,Ricardo Semler,"In The Seven-Day Weekend, Semler explains how he transformed a small family business into a highly profitable manufacturing, services and high-tech powerhouse - 40 times larger - while watching his favorite movies or relaxing with his son in the middle of the business day. Praise for The Seven-Day Weekend'Are there real-life lessons to be learned? The answer is yes-Pragmatic, inspirational and intriguing advice' The Times'Ricardo Semler is our kind of capitalist.' Guardian'In this book, Ricardo Semler tells how Semco, Latin America's fastest growing company, uses a revolutionary way of working to run a profit making company with a work force who love their jobs.' The Sunday Times'The Seven-Day Weekend challenges conventional approaches to work. It sparks ideas that can be applied to one's own business [and] will certainly encourage managers to look very carefully at their management practices.' Rocco Forte, Management TodayPraise for Ricardo Semler's Maverick!'Semco takes workplace democracy to previously unimagined frontiers' The Times'His egalitarian approach works like a dream' Today",2004-02-05,99425238,978-0099425236,Second-Hand Book,The Seven-Day Weekend,Rs. 350.00,paperback,288,-
