Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Type,Book Title,Price,Binding,Pages,Product Dimensions
-,Mark Rhodes-Ousley,"Today's complex world of mobile platforms, cloud computing and ubiquitous data access puts new security demands on every IT professional. Information Security: The Complete Reference, Second Edition (previously titled Network Security: The Complete Reference) is the only comprehensive book that offers vendor-neutral details on all aspects of information protection, with an eye toward the evolving threat landscape. Thoroughly revised and expanded to cover all aspects of modern information security - from concepts to details, this edition provides a one-stop reference equally applicable to the beginner and the seasoned professional. Find out how to build a holistic security program based on proven methodology, risk analysis, compliance and business needs. You'll learn how to successfully protect data, networks, computers and applications. In-depth chapters cover data protection, encryption, information rights management, network security, intrusion detection and prevention, Unix and Windows security, virtual and cloud security, secure application development, disaster recovery, forensics and real-world attacks and countermeasures. Included is an extensive security glossary, as well as standards-based references. This is a great resource for professionals and students alike.",-,1259098346,9781259098345,DISCOUNTED BOOKS," Information Security The Complete Reference, Second Edition","Rs. 4,250.00",Paperback,-,-
-,Arnold Wright,,-,-,-,RARE BOOKS,20th Century Impressions of Ceylon ,"Rs. 270,000.00",-,-,-
John Wiley & Sons Inc,Francis D. K. Ching,,1989-09-15,047128968X,9780471289685,DISCOUNTED BOOKS,Drawing A Creative Process,"Rs. 5,700.00",Paperback,208,21.5 x 1.5 x 27.9 cm
HarperCollins, Wilbur Smith,"A novel of ancient Egypt from the bestselling author of river god. Wilbur Smith is a master at the helm of one of the greatest stories of all time. On the banks of the Nile, a hero will rise. Across the lush plains of Egypt, Taita, a freed eunuch slave, wears his authority lightly. Not only is he the close adviser to the Pharaoh, but he is guardian to pharaoh tamose two teenage sisters, the young beauties Tehuti and Bekatha. But the kingdom is not at peace. They have been fighting southern Egypts constant and historic enemy, the Hyksos people in the north, since time began. To finally crush them, Pharaoh must turn to his most trusted friend. Taita, philosopher, poet and expert strategist, has a plan that will see Egypt destroy the Hyksos army and form a coveted alliance with Crete in one move. This plan will take him, his expedition commander Zara's and their mighty warriors on a perilous journey up the Nile, through Arabia to the magical city of Babylon, then across the open seas to Crete. The many dangers will cost lives and time and they will meet battle and betrayal head on. But Taita must not forget his two charges, the spirited young princesses, whose attraction to the very warriors who lead the fight threatens Taitas meticulous plan and the future of Egypt itself.",2014-09-25,0007592922,9780007592920,DISCOUNTED BOOKS,Desert God,"Rs. 1,100.00",Paperback,432,-
-,-,.,-,-,-,RARE BOOKS,George Keyt,"Rs. 120,000.00",-,-,-
-,"Roy J. Lewicki, Bruce Barry",,-,-,978-0071254274,DISCOUNTED BOOKS,Essential of Negotiation 4th edition,"Rs. 6,500.00",-,-,-
-, Christopher Andrew,,-,-,9780307275813,DISCOUNTED BOOKS,Defend the Realm,"Rs. 2,300.00",-,-,-
-,R Elmasri and S Navathe,,-,-,978-8131792476,DISCOUNTED BOOKS,Database Systems 6th edition,"Rs. 5,200.00",-,-,-
Random House, Karin Slaughter,,-,1780890915,9781780890913,DISCOUNTED BOOKS,Criminal ,"Rs. 1,800.00",paperback,448,-
-,Abraham Silberschatz,,-,-,978-0071244763,DISCOUNTED BOOKS,Database Systems Concepts,"Rs. 8,600.00",-,-,-
